t:1.05, r:0.00, omega:24.13, omega_m:0.17, u:0.00, theta1:16.973, theta2:0.894, e:23.965
t:1.06, r:0.00, omega:24.13, omega_m:0.06, u:0.00, theta1:16.973, theta2:0.923, e:24.071
t:1.07, r:0.00, omega:24.13, omega_m:0.02, u:0.00, theta1:16.973, theta2:0.952, e:24.111
t:1.08, r:0.00, omega:24.13, omega_m:0.01, u:0.00, theta1:16.973, theta2:0.981, e:24.125
t:1.09, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.010, e:24.130
t:1.10, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.039, e:24.132
t:1.11, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.069, e:24.133
t:1.12, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.098, e:24.133
t:1.13, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.127, e:24.133
t:1.14, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.156, e:24.133
t:1.15, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.185, e:24.133
t:1.16, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.214, e:24.133
t:1.17, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.243, e:24.133
t:1.18, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.272, e:24.133
t:1.19, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.301, e:24.133
t:1.20, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.331, e:24.133
t:1.21, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.360, e:24.133
t:1.22, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.389, e:24.133
t:1.23, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.418, e:24.133
t:1.24, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.447, e:24.133
t:1.25, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.476, e:24.133
t:1.26, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.505, e:24.133
t:1.27, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.534, e:24.133
t:1.28, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.564, e:24.133
t:1.29, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.593, e:24.133
t:1.30, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.622, e:24.133
t:1.31, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.651, e:24.133
t:1.32, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.680, e:24.133
t:1.33, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.709, e:24.133
t:1.34, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.738, e:24.133
t:1.35, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.767, e:24.133
t:1.36, r:0.00, omega:24.13, omega_m:0.00, u:0.00, theta1:16.973, theta2:1.797, e:24.133
