t:0.85, r:25.00, omega:27.41, omega_m:25.00, u:407.83, theta1:17.004, theta2:0.630, e:2.415
t:0.86, r:25.00, omega:30.18, omega_m:25.00, u:405.68, theta1:16.997, theta2:0.638, e:5.175
t:0.87, r:25.00, omega:29.88, omega_m:25.00, u:405.47, theta1:16.990, theta2:0.645, e:4.881
t:0.88, r:25.00, omega:29.88, omega_m:25.00, u:405.08, theta1:16.983, theta2:0.652, e:4.881
t:0.89, r:25.00, omega:28.13, omega_m:25.00, u:405.99, theta1:16.979, theta2:0.657, e:3.128
t:0.90, r:25.00, omega:28.13, omega_m:25.00, u:405.76, theta1:16.974, theta2:0.661, e:3.128
t:0.91, r:25.00, omega:27.71, omega_m:25.00, u:405.84, theta1:16.970, theta2:0.665, e:2.705
t:0.92, r:25.00, omega:27.71, omega_m:25.00, u:405.64, theta1:16.967, theta2:0.669, e:2.705
t:0.93, r:25.00, omega:29.86, omega_m:25.00, u:403.81, theta1:16.960, theta2:0.676, e:4.859
t:0.94, r:25.00, omega:29.86, omega_m:25.00, u:403.42, theta1:16.953, theta2:0.683, e:4.859
t:0.95, r:25.00, omega:28.87, omega_m:25.00, u:403.80, theta1:16.947, theta2:0.689, e:3.868
t:0.96, r:25.00, omega:28.87, omega_m:25.00, u:403.51, theta1:16.942, theta2:0.694, e:3.868
t:0.97, r:25.00, omega:27.34, omega_m:25.00, u:404.40, theta1:16.938, theta2:0.697, e:2.338
t:0.98, r:25.00, omega:29.93, omega_m:25.00, u:402.20, theta1:16.931, theta2:0.705, e:4.927
t:0.99, r:25.00, omega:29.93, omega_m:25.00, u:401.80, theta1:16.925, theta2:0.712, e:4.927
t:1.00, r:25.00, omega:30.11, omega_m:25.00, u:401.26, theta1:16.917, theta2:0.720, e:5.113
t:1.01, r:0.00, omega:30.11, omega_m:9.20, u:0.00, theta1:16.914, theta2:0.751, e:20.916
t:1.02, r:0.00, omega:27.90, omega_m:3.38, u:0.00, theta1:16.910, theta2:0.785, e:24.512
t:1.03, r:0.00, omega:27.90, omega_m:1.24, u:0.00, theta1:16.905, theta2:0.822, e:26.651
t:1.04, r:0.00, omega:27.90, omega_m:0.46, u:0.00, theta1:16.900, theta2:0.860, e:27.438
t:1.05, r:0.00, omega:27.90, omega_m:0.17, u:0.00, theta1:16.896, theta2:0.898, e:27.727
t:1.06, r:0.00, omega:27.90, omega_m:0.06, u:0.00, theta1:16.891, theta2:0.937, e:27.834
t:1.07, r:0.00, omega:27.90, omega_m:0.02, u:0.00, theta1:16.886, theta2:0.976, e:27.873
t:1.08, r:0.00, omega:27.90, omega_m:0.01, u:0.00, theta1:16.882, theta2:1.014, e:27.887
t:1.09, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.877, theta2:1.053, e:27.892
t:1.10, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.872, theta2:1.092, e:27.894
t:1.11, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.867, theta2:1.130, e:27.895
t:1.12, r:0.00, omega:27.90, omega_m:0.00, u:0.00, theta1:16.863, theta2:1.169, e:27.895
