t:5.92, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.93, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.94, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.95, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.96, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.97, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.98, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.99, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:6.00, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:6.01, r:-25.00, omega:0.00, omega_m:-4.53, u:-450.44, theta1:18.017, theta2:2.987, e:4.532
t:6.02, r:-25.00, omega:0.00, omega_m:-8.24, u:-450.69, theta1:18.028, theta2:2.987, e:8.242
t:6.03, r:-25.00, omega:0.00, omega_m:-11.28, u:-451.05, theta1:18.042, theta2:2.987, e:11.280
t:6.04, r:-25.00, omega:0.00, omega_m:-13.77, u:-451.48, theta1:18.059, theta2:2.987, e:13.767
t:6.05, r:-25.00, omega:-0.52, omega_m:-15.80, u:-450.41, theta1:18.078, theta2:2.986, e:15.285
t:6.06, r:-25.00, omega:-0.52, omega_m:-17.47, u:-450.94, theta1:18.099, theta2:2.986, e:16.952
t:6.07, r:-25.00, omega:-26.29, omega_m:-18.84, u:-373.50, theta1:18.090, theta2:2.996, e:-7.455
t:6.08, r:-25.00, omega:-26.29, omega_m:-19.95, u:-373.08, theta1:18.082, theta2:3.004, e:-6.338
t:6.09, r:-25.00, omega:-30.57, omega_m:-20.87, u:-359.47, theta1:18.070, theta2:3.019, e:-9.700
t:6.10, r:-25.00, omega:-30.57, omega_m:-21.62, u:-358.77, theta1:18.059, theta2:3.032, e:-8.951
t:6.11, r:-25.00, omega:-28.62, omega_m:-22.23, u:-364.21, theta1:18.051, theta2:3.042, e:-6.395
t:6.12, r:-25.00, omega:-28.62, omega_m:-22.73, u:-363.78, theta1:18.043, theta2:3.050, e:-5.892
t:6.13, r:-25.00, omega:-26.78, omega_m:-23.14, u:-369.15, theta1:18.039, theta2:3.055, e:-3.639
t:6.14, r:-25.00, omega:-26.72, omega_m:-23.48, u:-369.14, theta1:18.035, theta2:3.059, e:-3.237
t:6.15, r:-25.00, omega:-26.72, omega_m:-23.76, u:-368.94, theta1:18.031, theta2:3.063, e:-2.962
t:6.16, r:-25.00, omega:-26.61, omega_m:-23.98, u:-369.09, theta1:18.028, theta2:3.067, e:-2.629
t:6.17, r:-25.00, omega:-26.61, omega_m:-24.17, u:-368.93, theta1:18.025, theta2:3.070, e:-2.444
t:6.18, r:-25.00, omega:-26.57, omega_m:-24.32, u:-368.91, theta1:18.022, theta2:3.073, e:-2.250
t:6.19, r:-25.00, omega:-26.57, omega_m:-24.44, u:-368.77, theta1:18.019, theta2:3.076, e:-2.126
t:6.20, r:-25.00, omega:-28.04, omega_m:-24.54, u:-364.00, theta1:18.015, theta2:3.081, e:-3.497
t:6.21, r:-25.00, omega:-28.04, omega_m:-24.63, u:-363.76, theta1:18.011, theta2:3.085, e:-3.414
t:6.22, r:-25.00, omega:-28.17, omega_m:-24.69, u:-363.11, theta1:18.006, theta2:3.090, e:-3.476
t:6.23, r:-25.00, omega:-28.17, omega_m:-24.75, u:-362.87, theta1:18.002, theta2:3.095, e:-3.420
t:6.24, r:-25.00, omega:-27.57, omega_m:-24.79, u:-364.52, theta1:17.999, theta2:3.099, e:-2.777
t:6.25, r:-25.00, omega:-27.57, omega_m:-24.83, u:-364.33, theta1:17.995, theta2:3.103, e:-2.739
t:6.26, r:-25.00, omega:-25.08, omega_m:-24.86, u:-372.06, theta1:17.995, theta2:3.103, e:-0.214
t:6.27, r:-25.00, omega:-25.08, omega_m:-24.89, u:-372.05, theta1:17.995, theta2:3.103, e:-0.189
t:6.28, r:-25.00, omega:-27.98, omega_m:-24.91, u:-362.81, theta1:17.991, theta2:3.108, e:-3.076
t:6.29, r:-25.00, omega:-27.98, omega_m:-24.92, u:-362.60, theta1:17.987, theta2:3.112, e:-3.059
t:6.30, r:-25.00, omega:-27.24, omega_m:-24.94, u:-364.76, theta1:17.984, theta2:3.115, e:-2.299
t:6.31, r:-25.00, omega:-27.24, omega_m:-24.95, u:-364.61, theta1:17.981, theta2:3.118, e:-2.287
t:6.32, r:-25.00, omega:-25.18, omega_m:-24.96, u:-371.02, theta1:17.981, theta2:3.118, e:-0.217
t:6.33, r:-25.00, omega:-25.18, omega_m:-24.97, u:-371.01, theta1:17.981, theta2:3.119, e:-0.209
t:6.34, r:-25.00, omega:-28.45, omega_m:-24.97, u:-360.56, theta1:17.976, theta2:3.124, e:-3.473
t:6.35, r:-25.00, omega:-28.45, omega_m:-24.98, u:-360.31, theta1:17.972, theta2:3.129, e:-3.468
t:6.36, r:-25.00, omega:-25.13, omega_m:-24.98, u:-370.68, theta1:17.972, theta2:3.129, e:-0.146
t:6.37, r:-25.00, omega:-25.13, omega_m:-24.98, u:-370.67, theta1:17.972, theta2:3.129, e:-0.142
t:6.38, r:-25.00, omega:-26.87, omega_m:-24.99, u:-365.08, theta1:17.969, theta2:3.131, e:-1.886
