t:1.15, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.460, theta2:0.147, e:11.580
t:1.16, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.458, theta2:0.154, e:11.580
t:1.17, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.456, theta2:0.161, e:11.580
t:1.18, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.454, theta2:0.167, e:11.580
t:1.19, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.452, theta2:0.174, e:11.580
t:1.20, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.450, theta2:0.181, e:11.580
t:1.21, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.448, theta2:0.187, e:11.580
t:1.22, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.446, theta2:0.194, e:11.580
t:1.23, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.444, theta2:0.201, e:11.580
t:1.24, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.442, theta2:0.207, e:11.580
t:1.25, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.440, theta2:0.214, e:11.580
t:1.26, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.438, theta2:0.221, e:11.580
t:1.27, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.436, theta2:0.227, e:11.580
t:1.28, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.434, theta2:0.234, e:11.580
t:1.29, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.432, theta2:0.241, e:11.580
t:1.30, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.430, theta2:0.247, e:11.580
t:1.31, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.428, theta2:0.254, e:11.580
t:1.32, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.426, theta2:0.261, e:11.580
t:1.33, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.424, theta2:0.267, e:11.580
t:1.34, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.422, theta2:0.274, e:11.580
t:1.35, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.420, theta2:0.281, e:11.580
t:1.36, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.418, theta2:0.287, e:11.580
t:1.37, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.416, theta2:0.294, e:11.580
t:1.38, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.414, theta2:0.301, e:11.580
t:1.39, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.412, theta2:0.307, e:11.580
t:1.40, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.410, theta2:0.314, e:11.580
t:1.41, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.408, theta2:0.321, e:11.580
t:1.42, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.406, theta2:0.327, e:11.580
t:1.43, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.404, theta2:0.334, e:11.580
t:1.44, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.402, theta2:0.341, e:11.580
t:1.45, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.400, theta2:0.347, e:11.580
t:1.46, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.398, theta2:0.354, e:11.580
t:1.47, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.396, theta2:0.361, e:11.580
t:1.48, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.394, theta2:0.367, e:11.580
t:1.49, r:0.00, omega:11.58, omega_m:0.00, u:0.00, theta1:17.392, theta2:0.374, e:11.580
